,Unnamed: 0,text,label
190,190,"Once when I was in college and we had an international fair, the Russian section had a Soviet-era poster saying ""Ne boltay!"", meaning ""Don't gossip!"". I ""translated"" it for the ""generation"" of TV watchers as ""Don't be Gladys Kravitz!"" (in reference to the nosy neighbor on ""Bewitched"").<br /><br />However, when you see the result of gossip in the Pvt. Snafu short ""Rumors"", you see that it's not quite a laughing matter. In this case, the perpetually witless soldier overhears something about bombin",1
2318,2318,"I took a chance on ""Hardcastle and McCormick"" by purchasing the first season's worth (Canadian release) from Amazon. When I got it, I started with the pilot, and I was instantly hooked after that. I rated it 5 stars on Amazon, and I am rating it 10 stars here. It is just that good. What I liked about it were the opening and closing themes, and of course Stephen J. Cannell's logo at the end of each episode, but most of all, the relationship between the Judge and Mark as they worked together to cr",1
4096,4096,"To say this film is simply a demonisation of Catholics and a misrepresentation of history is untrue. That is not what this film is.<br /><br />What this film is is a comment on the abuses of the Church (although this could be substituted for any powerful body), the ways that this abuse affects people and families and the way so many people choose to simply allow and often participate in the abuse without thinking for themselves. The fact that it is the Catholic church which is in the wrong is si",1
4241,4241,"This is quite possibly THE worst movie I have ever seen. Again I made the mistake of buying the movie because the synapse on the back sounded cool and the front cover looked pretty cool too (After buying this and the movie ""Malevolence"" which I reviewed on here as well, I have learned my lesson). I love horror movies that take place in the woods or in the desert or on a farm. This supposedly takes place in the woods of Texas but was probably filmed in the director's backyard. The production was ",0
4080,4080,"I have never seen a worse movie.<br /><br />It is possible to take a shootem up video game and make it into a decent movie.<br /><br />Mistake 1: absolutely no connection to any of the characters. In this movie you don't bond with any of the characters because... you don't get a chance.<br /><br />The only character that is sympathetic or even interesting is the Deck Hand: Salish as played by Clint Howard. Except for this unique character, the outcome of the movie is meaningless as all the chara",0
1219,1219,"Brendan Filone is the absolute best character in The Sopranos. he died by getting shot in the eye. This was the best and well orchestrated scene ever in the Sopranos. Brendan Filone is too good. Brendan Filone shall haunt Uncle Junior in his dreams until Uncle Junior can't take it anymore. Brendan Filone is the best character. Brendan Filone was killed in episode # 3, Denial, anger, acceptance. But his legacy will live on forever. Brendan Filone is the best character on Sopranos! Brendan Filone ",1
684,684,"It's true that Danny Steinmann's ""The Unseen"" is a simplistic horror thriller with a very predictable plot, no particular attempts for twists or surprises whatsoever and featuring literally every single cliché the genre has brought forward over the decades, but that doesn't necessarily make it a bad film. On the contrary, my friends and I were pleasantly surprised by this obscure but nevertheless intense little 80's shock- feature that mainly benefices from a handful of brutal images and a downr",1
17,17,"Popular radio storyteller Gabriel No one(Robin Williams,scraggy and speaking in hushed,hypnotic tones) becomes acquainted and friends with a fourteen-year-old boy from Wisconsin named Pete Logand(Rory Culkin),who has written a book detailing sexual abuse from his parents. To boot,Pete has AIDS and this compels Gabriel further still,since his partner Jess(Bobby Cannavale,good)happens to be a survivor of HIV himself. <br /><br />He also acquaints himself with Pete's guardian,a woman named Donna(To",1
1357,1357,"You ever sit through a movie and after it's all over it's like one big ""wtf!?"". <br /><br />Welcome to Decoy. <br /><br />Another straight to video action fodder flick you can immediately forget about having watched or better yet don't watch it at all. Peter Weller and Robert Patrick star and are quickly wasted in this going nowheres fast mercenaries-for-hire action dud where the story is pretty darn bad and the action sucks and what's the point of watching an action flick if the action blows? R",0
1500,1500,Steven Rea plays a forensic scientist thrust on the job in Sovie Russia in 1982..in the very first hours of his job a body of a murdered girl is brought in..he has his workers go back to look for evidence and they bring back five more bodies..this starts the story of the hunt for one of the worst serial killers in modern day history..It is a stark depressing dark movie that explores how the bureaucracy of the old Soviet Union indirectly contributed or caused the deaths of many of the killers vic,1
4404,4404,"This was one of those wonderful rare moments in T.V. that I wished I'd captured forever on VHS. Won't it ever air again? <br /><br />It was so creative and I remember it was aired once a week and the wait for the next episode was excruciating. I want to see it all again. I want to buy it. I want what I can't have. Not even on EBAY. <br /><br />So, having ranted enough it was, by far, one of the best series the 80's put out. It should be considered a classic but is lost in space. At least this we",1
3155,3155,"One of the worst films I have ever seen. Got so bored that I switched it off midway through to watch the news. When I switched it back on, I fell asleep. The film starts with a dream, continues with a dream, and ends with a dream. Then there are a few more dreams in between. Come on, what is supposed to keep me interested in that? A film needs to have a reason to be interesting. The minute you felt the film was only a dream is when any sensible film-goer switches off. Ever had someone insist on ",0
4761,4761,"... but the trouble of this production is that it's very far from a good musical.<br /><br />Granted, one can't always expect the witty masters like Sondheim or Bernstein or Porter; yet the music of this piece makes even Andrew Lloyd Webber look witty. It's deadly dull and uninventive (with one or two exceptions) and just after I watched it I couldn't recall a single significant melody - which is rather tragic coming from someone who learned the whole Another Hundred People from three listenings",0
4759,4759,Good old black and white Graham Greene based people in dangerous times doing heroic and mysterious things. Hardly a shot fired or a punch thrown and a hundred time more interesting than the glop that's being minted by Hollywood today. Bacall lights up the screen of course and Boyer is entirely engaging. They don't make movies like this any more.,1
4303,4303,"I actually like the original, and this film has its ups and downs. Here's just a few:<br /><br />Ups: Most of the original voice cast returned.<br /><br />Downs: I didn't like the voice of Timon's Ma. I know she did a voice in The Simpsons, but that show is just plain stupid. <br /><br />Ups: We get to see Simba as a ""teenager.""<br /><br />Downs: They wasted it with a slug-slurping contest between Timon and Simba. <br /><br />Ups: It was Rafiki who told Timon about ""Hakuna Matata.""<br /><br />Do",1
2117,2117,"This documentary on schlockmeister William Castle takes a few cheap shots at the naive '50s-'60s environment in which he did his most characteristic work--look at the funny, silly people with the ghost-glasses--but it's also affectionate and lively, with particularly bright commentary from John Waters, who was absolutely the target audience for such things at the time, and from Castle's daughter, who adored her dad and also is pretty perceptive about how he plied his craft. (We never find out wh",1
4508,4508,"I'll try to use words to describe this on.... <br /><br />I saw the original, which was good in its own way, but back then I should have feared a sequel.<br /><br />And I was 'afraid' when I picked this one up, but now that I've seen it, I have to say, it's even worse then I thought. Why these movies still get money still makes my mind spin. <br /><br />Let's start with the actors;they aren't all that good, but it has to be said, some make heads turn by being just plain awful. But what can an ac",0
1117,1117,"Unless you are geeky film student who has to see everything, this film will not only be a waste of your time and money and a huge disappointment, but it will also make you angry beyond belief.<br /><br />There might be a story worth telling somewhere inside, but Hopkins decided to hide it and encode under so many incessant chaotic layers of apparently random audio video microcuts, making the viewer's patience run thin after a very short while.<br /><br />Why would someone like Hopkins choose suc",0
1324,1324,"I have screened this movie several times here at college, and every time I show it, the number of people watching with me grows exponentially... in addition to the virgins, anyone I've already shown it to NEEDS to see it again! It takes a little while to get into it, but by the end the whole room is screaming, shouting, yelling, rewinding scenes repeatedly, repeating dialogue, and just totally and completely engrossed in the moviegoing experience that is Pia Zadora in ""The Lonely Lady""! Scene af",1
2530,2530,"well, i said it all in the summary, i simpley adore the movie and the cast...i would give each actor an Oscar...great, great movie...i'm 25 now and i watched it 4 times in different periods and i always think i won't cry and i always do, about 2 or 3 times...;) meryl s. was absolutely brilliant, jeremy irons also..just brilliant...i wish the movie received more awards... i really don't know anybody who watched it and didn't loved it... also, glenn close was fantastic... the story was beautiful a",1
1579,1579,"I don't know what the previous reviewer was watching but I guess that's what reviews are, personal taste. Missed in this movie was the depth, a very deep film, many layers of emotion, affecting. Undercurrents of withheld love because of submission to societal beliefs, taboos of the times and classes, race relations not being in a very good state of equality, guilt, yearning, hate, confusion, very dark emotionally I thought, under the skin, you have to submit to the aire of it, a flowing movie, n",1
1335,1335,"i can't figure out who greenlighted this thing! it has no redeeming qualities, none, nada, zip, zilch.<br /><br />the acting was bad. the directing was bad. the writing was bad. the plot was bad. the music was bad. the editing was bad. ....well, at least the filmmakers were consistent.",0
1662,1662,"Hollywood always had trouble coming to terms with a ""religious picture."" Strange Cargo proves to be no exception. Although utilizing the talents of a superb cast, and produced on a top budget, with suitably moody photography by Robert Planck, the movie fails dismally on the credibility score. Perhaps the reason is that the film seems so realistic that the sudden intrusion of fantasy elements upsets the viewer's involvement in the action and with the fate of the characters. I found it difficult t",0
464,464,"The story of the boy thief of Bagdad (as it was once spelled) has attracted filmmakers from Raoul Walsh in 1924, who starred Douglas Fairbanks in the first, silent, rendering of ""Thief of Bagdad,"" to less imposing, more recent attempts. The best, however, remains 1940's version which for its time was a startling, magical panoply of top quality special effects. Those effects still work their charm.<br /><br />No less than six directors are listed for the technicolor movie which starred Sabu as th",1
4706,4706,"This is the weepy that Beaches never was. As much as I wanted to love Beaches, it always seemed too hurried for me to ""feel"" for it (its soundtrack is one of my favorite albums though). Stella, on the other hand, moves at a slower (and occasionally too slow) pace and though it's somewhat manipulative in its tears-inducing tale about a self-sacrificial mother, it works because Bette and the rest of the cast turn in great performances. 10/10",1
4324,4324,"Truly this is a 'heart-warming' film. It won the George Peobody Award, winning over ""Roots"", so that may tell you something of the essence of this film. I am looking on the Internet how to order this movie since my former father-in-law, Eugene Logan, the co-writer of this film has been deceased for a few years now so I no longer have the opportunity to receive information from him. I would love to have his only grand-daughters, my daughters, see this film, as well as to pass this wonderful story",1
