BATCH_SIZE,MAX_LEN,LEARNING_RATE,EPOCHS,LOSS,BEST_ACC
128.0,32.0,2e-05,100.0,0.455234,0.81147
128.0,32.0,0.0001,100.0,0.338197,0.856284
128.0,32.0,0.0002,100.0,0.341123,0.852679
128.0,32.0,0.001,100.0,0.346468,0.866071
128.0,32.0,0.001,200.0,0.332568,0.86238
128.0,32.0,0.002,100.0,0.341761,0.861092
128.0,32.0,0.002,200.0,0.359372,0.864097
128.0,32.0,0.02,200.0,0.34837,0.869763
128.0,32.0,0.05,200.0,0.360338,0.865728
128.0,64.0,0.001,100.0,0.312007,0.881611
128.0,64.0,0.002,100.0,0.315553,0.879035
128.0,64.0,0.02,100.0,0.323444,0.880752
128.0,64.0,0.05,100.0,0.340378,0.876374
